,SeriesID,Year,Period,Month,Date,3-Month % Change,PPI/CPI,NormValue
620,PPI_Semiconductor_Manuf_Machinery,2023,M04,April,04-01-2023,2.9,126.174,100.0
621,PPI_Semiconductor_Manuf_Machinery,2023,M03,March,03-01-2023,2.0,124.92,92.98422289358842
622,PPI_Semiconductor_Manuf_Machinery,2023,M02,February,02-01-2023,2.7,124.92,92.98422289358842
623,PPI_Semiconductor_Manuf_Machinery,2023,M01,January,01-01-2023,0.7,122.564,79.80306590578488
624,PPI_Semiconductor_Manuf_Machinery,2022,M12,December,12-01-2022,0.5,122.47,79.27716235873332
625,PPI_Semiconductor_Manuf_Machinery,2022,M11,November,11-01-2022,-0.2,121.653,74.70627727425313
626,PPI_Semiconductor_Manuf_Machinery,2022,M10,October,10-01-2022,-0.2,121.653,74.70627727425313
627,PPI_Semiconductor_Manuf_Machinery,2022,M09,September,09-01-2022,5.9,121.855,75.83641042855544
628,PPI_Semiconductor_Manuf_Machinery,2022,M08,August,08-01-2022,5.9,121.855,75.83641042855544
629,PPI_Semiconductor_Manuf_Machinery,2022,M07,July,07-01-2022,5.9,121.855,75.83641042855544
630,PPI_Semiconductor_Manuf_Machinery,2022,M06,June,06-01-2022,0.9,115.104,38.06646525679758
631,PPI_Semiconductor_Manuf_Machinery,2022,M05,May,05-01-2022,0.9,115.104,38.06646525679758
632,PPI_Semiconductor_Manuf_Machinery,2022,M04,April,04-01-2022,0.9,115.104,38.06646525679758
633,PPI_Semiconductor_Manuf_Machinery,2022,M03,March,03-01-2022,0.2,114.023,32.018574465704354
634,PPI_Semiconductor_Manuf_Machinery,2022,M02,February,02-01-2022,0.2,114.023,32.018574465704354
635,PPI_Semiconductor_Manuf_Machinery,2022,M01,January,01-01-2022,0.2,114.023,32.018574465704354
636,PPI_Semiconductor_Manuf_Machinery,2021,M12,December,12-01-2021,0.0,113.83,30.938793778672924
637,PPI_Semiconductor_Manuf_Machinery,2021,M11,November,11-01-2021,0.0,113.83,30.938793778672924
638,PPI_Semiconductor_Manuf_Machinery,2021,M10,October,10-01-2021,0.0,113.83,30.938793778672924
639,PPI_Semiconductor_Manuf_Machinery,2021,M09,September,09-01-2021,1.0,113.83,30.938793778672924
640,PPI_Semiconductor_Manuf_Machinery,2021,M08,August,08-01-2021,0.6,113.83,30.938793778672924
641,PPI_Semiconductor_Manuf_Machinery,2021,M07,July,07-01-2021,0.6,113.83,30.938793778672924
642,PPI_Semiconductor_Manuf_Machinery,2021,M06,June,06-01-2021,-0.4,112.7,24.616761776882644
643,PPI_Semiconductor_Manuf_Machinery,2021,M05,May,05-01-2021,0.0,113.1,26.85464921114465
644,PPI_Semiconductor_Manuf_Machinery,2021,M04,April,04-01-2021,-2.0,113.1,26.85464921114465
645,PPI_Semiconductor_Manuf_Machinery,2021,M03,March,03-01-2021,-2.0,113.1,26.85464921114465
646,PPI_Semiconductor_Manuf_Machinery,2021,M02,February,02-01-2021,-2.0,113.1,26.85464921114465
647,PPI_Semiconductor_Manuf_Machinery,2021,M01,January,01-01-2021,0.0,115.4,39.72250195815153
648,PPI_Semiconductor_Manuf_Machinery,2020,M12,December,12-01-2020,0.0,115.4,39.72250195815153
649,PPI_Semiconductor_Manuf_Machinery,2020,M11,November,11-01-2020,0.0,115.4,39.72250195815153
650,PPI_Semiconductor_Manuf_Machinery,2020,M10,October,10-01-2020,1.8,115.4,39.72250195815153
651,PPI_Semiconductor_Manuf_Machinery,2020,M09,September,09-01-2020,1.8,115.4,39.72250195815153
652,PPI_Semiconductor_Manuf_Machinery,2020,M08,August,08-01-2020,1.8,115.4,39.72250195815153
653,PPI_Semiconductor_Manuf_Machinery,2020,M07,July,07-01-2020,0.0,113.4,28.533064786841255
654,PPI_Semiconductor_Manuf_Machinery,2020,M06,June,06-01-2020,0.0,113.4,28.533064786841255
655,PPI_Semiconductor_Manuf_Machinery,2020,M05,May,05-01-2020,1.0,113.4,28.533064786841255
656,PPI_Semiconductor_Manuf_Machinery,2020,M04,April,04-01-2020,1.0,113.4,28.533064786841255
657,PPI_Semiconductor_Manuf_Machinery,2020,M03,March,03-01-2020,1.0,113.4,28.533064786841255
658,PPI_Semiconductor_Manuf_Machinery,2020,M02,February,02-01-2020,0.0,112.3,22.378874342620556
659,PPI_Semiconductor_Manuf_Machinery,2020,M01,January,01-01-2020,0.0,112.3,22.378874342620556
660,PPI_Semiconductor_Manuf_Machinery,2019,M12,December,12-01-2019,0.0,112.3,22.378874342620556
661,PPI_Semiconductor_Manuf_Machinery,2019,M11,November,11-01-2019,0.0,112.3,22.378874342620556
662,PPI_Semiconductor_Manuf_Machinery,2019,M10,October,10-01-2019,0.0,112.3,22.378874342620556
663,PPI_Semiconductor_Manuf_Machinery,2019,M09,September,09-01-2019,0.0,112.3,22.378874342620556
664,PPI_Semiconductor_Manuf_Machinery,2019,M08,August,08-01-2019,0.0,112.3,22.378874342620556
665,PPI_Semiconductor_Manuf_Machinery,2019,M07,July,07-01-2019,0.4,112.3,22.378874342620556
666,PPI_Semiconductor_Manuf_Machinery,2019,M06,June,06-01-2019,0.4,112.3,22.378874342620556
667,PPI_Semiconductor_Manuf_Machinery,2019,M05,May,05-01-2019,0.6,112.3,22.378874342620556
668,PPI_Semiconductor_Manuf_Machinery,2019,M04,April,04-01-2019,1.8,111.8,19.581515049792987
669,PPI_Semiconductor_Manuf_Machinery,2019,M03,March,03-01-2019,1.8,111.8,19.581515049792987
670,PPI_Semiconductor_Manuf_Machinery,2019,M02,February,02-01-2019,1.6,111.6,18.46257133266194
671,PPI_Semiconductor_Manuf_Machinery,2019,M01,January,01-01-2019,0.0,109.8,8.392077878482707
672,PPI_Semiconductor_Manuf_Machinery,2018,M12,December,12-01-2018,0.0,109.8,8.392077878482707
673,PPI_Semiconductor_Manuf_Machinery,2018,M11,November,11-01-2018,0.0,109.8,8.392077878482707
674,PPI_Semiconductor_Manuf_Machinery,2018,M10,October,10-01-2018,0.0,109.8,8.392077878482707
675,PPI_Semiconductor_Manuf_Machinery,2018,M09,September,09-01-2018,0.0,109.8,8.392077878482707
676,PPI_Semiconductor_Manuf_Machinery,2018,M08,August,08-01-2018,0.0,109.8,8.392077878482707
677,PPI_Semiconductor_Manuf_Machinery,2018,M07,July,07-01-2018,0.0,109.8,8.392077878482707
678,PPI_Semiconductor_Manuf_Machinery,2018,M06,June,06-01-2018,0.5,109.8,8.392077878482707
679,PPI_Semiconductor_Manuf_Machinery,2018,M05,May,05-01-2018,0.7,109.8,8.392077878482707
680,PPI_Semiconductor_Manuf_Machinery,2018,M04,April,04-01-2018,0.9,109.8,8.392077878482707
681,PPI_Semiconductor_Manuf_Machinery,2018,M03,March,03-01-2018,0.9,109.2,5.035246727089657
682,PPI_Semiconductor_Manuf_Machinery,2018,M02,February,02-01-2018,0.9,109.0,3.916303009958613
683,PPI_Semiconductor_Manuf_Machinery,2018,M01,January,01-01-2018,0.9,108.8,2.7973592928275695
684,PPI_Semiconductor_Manuf_Machinery,2015,M09,September,09-01-2015,-0.1,108.6,1.6784155756965256
685,PPI_Semiconductor_Manuf_Machinery,2015,M08,August,08-01-2015,0.0,108.7,2.2378874342620874
686,PPI_Semiconductor_Manuf_Machinery,2015,M07,July,07-01-2015,0.0,108.7,2.2378874342620874
687,PPI_Semiconductor_Manuf_Machinery,2015,M06,June,06-01-2015,0.0,108.7,2.2378874342620874
688,PPI_Semiconductor_Manuf_Machinery,2015,M05,May,05-01-2015,0.0,108.7,2.2378874342620874
689,PPI_Semiconductor_Manuf_Machinery,2015,M04,April,04-01-2015,0.0,108.7,2.2378874342620874
690,PPI_Semiconductor_Manuf_Machinery,2015,M03,March,03-01-2015,0.0,108.7,2.2378874342620874
691,PPI_Semiconductor_Manuf_Machinery,2015,M02,February,02-01-2015,0.0,108.7,2.2378874342620874
692,PPI_Semiconductor_Manuf_Machinery,2015,M01,January,01-01-2015,0.4,108.7,2.2378874342620874
693,PPI_Semiconductor_Manuf_Machinery,2014,M12,December,12-01-2014,0.4,108.7,2.2378874342620874
694,PPI_Semiconductor_Manuf_Machinery,2014,M11,November,11-01-2014,0.4,108.7,2.2378874342620874
695,PPI_Semiconductor_Manuf_Machinery,2014,M10,October,10-01-2014,-0.3,108.3,0.0
696,PPI_Semiconductor_Manuf_Machinery,2014,M09,September,09-01-2014,-0.3,108.3,0.0
697,PPI_Semiconductor_Manuf_Machinery,2014,M08,August,08-01-2014,-0.5,108.3,0.0
698,PPI_Semiconductor_Manuf_Machinery,2014,M07,July,07-01-2014,-0.3,108.6,1.6784155756965256
699,PPI_Semiconductor_Manuf_Machinery,2014,M06,June,06-01-2014,-0.3,108.6,1.6784155756965256
700,PPI_Semiconductor_Manuf_Machinery,2014,M05,May,05-01-2014,-0.3,108.8,2.7973592928275695
701,PPI_Semiconductor_Manuf_Machinery,2014,M04,April,04-01-2014,-0.3,108.9,3.356831151393131
702,PPI_Semiconductor_Manuf_Machinery,2014,M03,March,03-01-2014,-0.3,108.9,3.356831151393131
703,PPI_Semiconductor_Manuf_Machinery,2013,M06,June,06-01-2013,0.0,108.8,2.7973592928275695
704,PPI_Semiconductor_Manuf_Machinery,2013,M05,May,05-01-2013,0.0,108.8,2.7973592928275695
705,PPI_Semiconductor_Manuf_Machinery,2013,M04,April,04-01-2013,0.0,108.8,2.7973592928275695
706,PPI_Semiconductor_Manuf_Machinery,2013,M03,March,03-01-2013,-3.4,108.8,2.7973592928275695
707,PPI_Semiconductor_Manuf_Machinery,2013,M02,February,02-01-2013,-3.4,108.8,2.7973592928275695
708,PPI_Semiconductor_Manuf_Machinery,2013,M01,January,01-01-2013,-3.4,108.8,2.7973592928275695
