index,Year,Quarter,Date,Value,3-Month % Change
257,2013,M01,2013-01-01,52.0,-3.0
258,2013,M02,2013-02-01,51.9,-0.6
259,2013,M03,2013-03-01,51.1,-2.1
260,2013,M04,2013-04-01,51.0,-1.9
261,2013,M05,2013-05-01,50.9,-1.9
262,2013,M06,2013-06-01,50.9,-0.4
263,2013,M07,2013-07-01,50.6,-0.8
264,2013,M08,2013-08-01,50.5,-0.8
265,2013,M09,2013-09-01,49.7,-2.4
266,2013,M10,2013-10-01,49.5,-2.2
267,2013,M11,2013-11-01,49.5,-2.0
268,2013,M12,2013-12-01,49.5,-0.4
269,2014,M01,2014-01-01,49.4,-0.2
270,2014,M02,2014-02-01,49.4,-0.2
271,2014,M03,2014-03-01,49.3,-0.4
272,2014,M04,2014-04-01,49.1,-0.6
273,2014,M05,2014-05-01,48.8,-1.2
274,2014,M06,2014-06-01,48.7,-1.2
275,2014,M07,2014-07-01,48.1,-2.0
276,2014,M08,2014-08-01,48.0,-1.6
277,2014,M09,2014-09-01,48.1,-1.2
278,2014,M10,2014-10-01,47.4,-1.5
279,2014,M11,2014-11-01,47.4,-1.3
280,2014,M12,2014-12-01,47.1,-2.1
281,2015,M01,2015-01-01,46.3,-2.3
282,2015,M02,2015-02-01,46.3,-2.3
283,2015,M03,2015-03-01,46.3,-1.7
284,2015,M04,2015-04-01,46.3,0.0
285,2015,M05,2015-05-01,46.1,-0.4
286,2015,M06,2015-06-01,46.1,-0.4
287,2015,M07,2015-07-01,46.1,-0.4
288,2015,M08,2015-08-01,46.1,0.0
289,2015,M09,2015-09-01,46.1,0.0
290,2015,M10,2015-10-01,46.0,-0.2
291,2015,M11,2015-11-01,45.9,-0.4
292,2015,M12,2015-12-01,45.7,-0.9
293,2016,M01,2016-01-01,45.6,-0.9
294,2016,M02,2016-02-01,44.9,-2.2
295,2016,M03,2016-03-01,44.8,-2.0
296,2016,M04,2016-04-01,44.6,-2.2
297,2016,M05,2016-05-01,44.5,-0.9
298,2016,M06,2016-06-01,44.6,-0.4
299,2016,M07,2016-07-01,44.5,-0.2
300,2016,M08,2016-08-01,44.4,-0.2
301,2016,M09,2016-09-01,44.4,-0.4
302,2016,M10,2016-10-01,44.4,-0.2
303,2016,M11,2016-11-01,44.4,0.0
304,2016,M12,2016-12-01,44.4,0.0
305,2017,M01,2017-01-01,44.1,-0.7
306,2017,M02,2017-02-01,44.1,-0.7
307,2017,M03,2017-03-01,43.9,-1.1
308,2017,M04,2017-04-01,44.0,-0.2
309,2017,M05,2017-05-01,44.0,-0.2
310,2017,M06,2017-06-01,44.0,0.2
311,2017,M07,2017-07-01,44.0,0.0
312,2017,M08,2017-08-01,44.0,0.0
313,2017,M09,2017-09-01,43.9,-0.2
314,2017,M10,2017-10-01,43.7,-0.7
315,2017,M11,2017-11-01,43.6,-0.9
316,2017,M12,2017-12-01,43.5,-0.9
317,2018,M01,2018-01-01,43.5,-0.5
318,2018,M02,2018-02-01,43.6,0.0
319,2018,M03,2018-03-01,43.3,-0.5
320,2018,M04,2018-04-01,43.1,-0.9
321,2018,M05,2018-05-01,43.0,-1.4
322,2018,M06,2018-06-01,42.6,-1.6
323,2018,M07,2018-07-01,42.2,-2.1
324,2018,M08,2018-08-01,42.2,-1.9
325,2018,M09,2018-09-01,42.1,-1.2
326,2018,M10,2018-10-01,42.0,-0.5
327,2018,M11,2018-11-01,41.9,-0.7
328,2018,M12,2018-12-01,41.7,-1.0
329,2019,M01,2019-01-01,41.3,-1.7
330,2019,M02,2019-02-01,41.0,-2.1
331,2019,M03,2019-03-01,40.8,-2.2
332,2019,M04,2019-04-01,40.8,-1.2
333,2019,M05,2019-05-01,40.7,-0.7
334,2019,M06,2019-06-01,40.5,-0.7
335,2019,M07,2019-07-01,40.4,-1.0
336,2019,M08,2019-08-01,40.3,-1.0
337,2019,M09,2019-09-01,40.3,-0.5
338,2019,M10,2019-10-01,40.2,-0.5
339,2019,M11,2019-11-01,40.0,-0.7
340,2019,M12,2019-12-01,39.9,-1.0
341,2020,M01,2020-01-01,40.2,0.0
342,2020,M02,2020-02-01,39.4,-1.5
343,2020,M03,2020-03-01,39.0,-2.3
344,2020,M04,2020-04-01,38.7,-3.7
345,2020,M05,2020-05-01,38.6,-2.0
346,2020,M06,2020-06-01,38.6,-1.0
347,2020,M07,2020-07-01,38.5,-0.5
348,2020,M08,2020-08-01,38.5,-0.3
349,2020,M09,2020-09-01,38.4,-0.5
350,2020,M10,2020-10-01,38.6,0.3
351,2020,M11,2020-11-01,39.0,1.3
352,2020,M12,2020-12-01,39.4,2.6
353,2021,M01,2021-01-01,39.8,3.1
354,2021,M02,2021-02-01,39.8,2.1
355,2021,M03,2021-03-01,39.7,0.8
356,2021,M04,2021-04-01,40.4,1.5
357,2021,M05,2021-05-01,40.9,2.8
358,2021,M06,2021-06-01,41.0,3.3
359,2021,M07,2021-07-01,42.5,5.2
360,2021,M08,2021-08-01,42.5,3.9
361,2021,M09,2021-09-01,43.0,4.9
362,2021,M10,2021-10-01,42.8,0.7
363,2021,M11,2021-11-01,42.7,0.5
364,2021,M12,2021-12-01,42.1,-2.1
365,2022,M01,2022-01-01,41.2,-3.7
366,2022,M02,2022-02-01,41.2,-3.5
367,2022,M03,2022-03-01,41.2,-2.1
368,2022,M04,2022-04-01,40.9,-0.7
369,2022,M05,2022-05-01,40.8,-1.0
370,2022,M06,2022-06-01,40.5,-1.7
371,2022,M07,2022-07-01,40.4,-1.2
372,2022,M08,2022-08-01,40.3,-1.2
373,2022,M09,2022-09-01,40.1,-1.0
374,2022,M10,2022-10-01,41.7,3.2
375,2022,M11,2022-11-01,41.4,2.7
376,2022,M12,2022-12-01,41.4,3.2
377,2023,M01,2023-01-01,41.4,-0.7
378,2023,M02,2023-02-01,41.4,0.0
379,2023,M03,2023-03-01,41.1,-0.7
