,SeriesID,Year,Period,Month,PPI/CPI
0,CPI: Food,2023,M04,April,321.566
1,CPI: Food,2023,M03,March,320.863
2,CPI: Food,2023,M02,February,320.569
3,CPI: Food,2023,M01,January,319.136
4,CPI: Food,2022,M12,December,316.839
5,CPI: Food,2022,M11,November,315.857
6,CPI: Food,2022,M10,October,315.323
7,CPI: Food,2022,M09,September,313.142
8,CPI: Food,2022,M08,August,310.875
9,CPI: Food,2022,M07,July,308.532
10,CPI: Food,2022,M06,June,305.041
11,CPI: Food,2022,M05,May,302.038
12,CPI: Food,2022,M04,April,298.711
13,CPI: Food,2022,M03,March,295.728
14,CPI: Food,2022,M02,February,292.794
15,CPI: Food,2022,M01,January,289.772
16,CPI: Food,2021,M12,December,286.966
17,CPI: Food,2021,M11,November,285.507
18,CPI: Food,2021,M10,October,284.205
19,CPI: Food,2021,M09,September,281.506
20,CPI: Food,2021,M08,August,279.135
21,CPI: Food,2021,M07,July,278.127
22,CPI: Food,2021,M06,June,276.206
23,CPI: Food,2021,M05,May,274.212
24,CPI: Food,2021,M04,April,273.09
25,CPI: Food,2021,M03,March,271.812
26,CPI: Food,2021,M02,February,271.363
27,CPI: Food,2021,M01,January,270.938
28,CPI: Food,2020,M12,December,270.023
29,CPI: Food,2020,M11,November,269.069
30,CPI: Food,2020,M10,October,269.828
31,CPI: Food,2020,M09,September,269.163
32,CPI: Food,2020,M08,August,269.079
33,CPI: Food,2020,M07,July,268.863
34,CPI: Food,2020,M06,June,269.77
35,CPI: Food,2020,M05,May,268.439
36,CPI: Food,2020,M04,April,266.757
37,CPI: Food,2020,M03,March,262.708
38,CPI: Food,2020,M02,February,261.876
39,CPI: Food,2020,M01,January,261.057
40,CPI: Food,2019,M12,December,259.823
41,CPI: Food,2019,M11,November,259.467
42,CPI: Food,2019,M10,October,259.632
43,CPI: Food,2019,M09,September,258.943
44,CPI: Food,2019,M08,August,258.41
45,CPI: Food,2019,M07,July,258.274
46,CPI: Food,2019,M06,June,258.064
47,CPI: Food,2019,M05,May,258.11
48,CPI: Food,2019,M04,April,257.708
49,CPI: Food,2019,M03,March,257.724
50,CPI: Food,2019,M02,February,257.222
51,CPI: Food,2019,M01,January,256.417
52,CPI: Food,2018,M12,December,255.21
53,CPI: Food,2018,M11,November,254.379
54,CPI: Food,2018,M10,October,254.358
55,CPI: Food,2018,M09,September,254.393
56,CPI: Food,2018,M08,August,254.077
57,CPI: Food,2018,M07,July,253.746
58,CPI: Food,2018,M06,June,253.231
59,CPI: Food,2018,M05,May,253.098
60,CPI: Food,2018,M04,April,253.209
61,CPI: Food,2018,M03,March,252.37
62,CPI: Food,2018,M02,February,252.266
63,CPI: Food,2018,M01,January,252.361
64,CPI: Food,2017,M12,December,251.238
65,CPI: Food,2017,M11,November,250.871
66,CPI: Food,2017,M10,October,251.364
67,CPI: Food,2017,M09,September,250.993
68,CPI: Food,2017,M08,August,250.493
69,CPI: Food,2017,M07,July,250.214
70,CPI: Food,2017,M06,June,249.653
71,CPI: Food,2017,M05,May,250.016
72,CPI: Food,2017,M04,April,249.739
73,CPI: Food,2017,M03,March,249.165
74,CPI: Food,2017,M02,February,248.791
75,CPI: Food,2017,M01,January,248.242
76,CPI: Food,2016,M12,December,247.313
77,CPI: Food,2016,M11,November,247.435
78,CPI: Food,2016,M10,October,248.073
79,CPI: Food,2016,M09,September,247.917
80,CPI: Food,2016,M08,August,247.719
81,CPI: Food,2016,M07,July,247.554
82,CPI: Food,2016,M06,June,247.482
83,CPI: Food,2016,M05,May,247.86
84,CPI: Food,2016,M04,April,248.413
85,CPI: Food,2016,M03,March,247.978
86,CPI: Food,2016,M02,February,248.8
87,CPI: Food,2016,M01,January,248.631
88,CPI: Food,2015,M12,December,247.903
89,CPI: Food,2015,M11,November,248.306
90,CPI: Food,2015,M10,October,249.052
91,CPI: Food,2015,M09,September,248.632
92,CPI: Food,2015,M08,August,247.671
93,CPI: Food,2015,M07,July,247.003
94,CPI: Food,2015,M06,June,246.68
95,CPI: Food,2015,M05,May,246.187
96,CPI: Food,2015,M04,April,246.121
97,CPI: Food,2015,M03,March,246.045
98,CPI: Food,2015,M02,February,246.68
99,CPI: Food,2015,M01,January,246.538
100,CPI: Food,2014,M12,December,245.976
101,CPI: Food,2014,M11,November,245.192
102,CPI: Food,2014,M10,October,245.166
103,CPI: Food,2014,M09,September,244.63
104,CPI: Food,2014,M08,August,243.811
105,CPI: Food,2014,M07,July,243.034
106,CPI: Food,2014,M06,June,242.326
107,CPI: Food,2014,M05,May,242.344
108,CPI: Food,2014,M04,April,241.337
109,CPI: Food,2014,M03,March,240.398
110,CPI: Food,2014,M02,February,239.608
111,CPI: Food,2014,M01,January,238.872
112,CPI: Food,2013,M12,December,237.869
113,CPI: Food,2013,M11,November,237.641
114,CPI: Food,2013,M10,October,237.871
115,CPI: Food,2013,M09,September,237.522
116,CPI: Food,2013,M08,August,237.406
117,CPI: Food,2013,M07,July,237.001
118,CPI: Food,2013,M06,June,236.792
119,CPI: Food,2013,M05,May,236.526
120,CPI: Food,2013,M04,April,236.841
121,CPI: Food,2013,M03,March,236.332
122,CPI: Food,2013,M02,February,236.301
123,CPI: Food,2013,M01,January,236.341
124,PPI: Trucking,2023,M04,April,388.056
125,PPI: Trucking,2023,M03,March,393.394
126,PPI: Trucking,2023,M02,February,398.398
127,PPI: Trucking,2023,M01,January,405.547
128,PPI: Trucking,2022,M12,December,393.794
129,PPI: Trucking,2022,M11,November,408.645
130,PPI: Trucking,2022,M10,October,400.106
131,PPI: Trucking,2022,M09,September,409.58
132,PPI: Trucking,2022,M08,August,408.179
133,PPI: Trucking,2022,M07,July,419.098
134,PPI: Trucking,2022,M06,June,436.338
135,PPI: Trucking,2022,M05,May,424.65
136,PPI: Trucking,2022,M04,April,410.705
137,PPI: Trucking,2022,M03,March,403.855
138,PPI: Trucking,2022,M02,February,372.082
139,PPI: Trucking,2022,M01,January,375.734
140,PPI: Trucking,2021,M12,December,367.796
141,PPI: Trucking,2021,M11,November,367.521
142,PPI: Trucking,2021,M10,October,356.931
143,PPI: Trucking,2021,M09,September,352.878
144,PPI: Trucking,2021,M08,August,350.281
145,PPI: Trucking,2021,M07,July,351.195
146,PPI: Trucking,2021,M06,June,355.2
147,PPI: Trucking,2021,M05,May,343.5
148,PPI: Trucking,2021,M04,April,343.0
149,PPI: Trucking,2021,M03,March,341.5
150,PPI: Trucking,2021,M02,February,331.8
151,PPI: Trucking,2021,M01,January,331.6
152,PPI: Trucking,2020,M12,December,315.4
153,PPI: Trucking,2020,M11,November,316.4
154,PPI: Trucking,2020,M10,October,319.7
155,PPI: Trucking,2020,M09,September,312.8
156,PPI: Trucking,2020,M08,August,320.1
157,PPI: Trucking,2020,M07,July,320.9
158,PPI: Trucking,2020,M06,June,313.8
159,PPI: Trucking,2020,M05,May,316.5
160,PPI: Trucking,2020,M04,April,317.6
161,PPI: Trucking,2020,M03,March,319.8
162,PPI: Trucking,2020,M02,February,322.1
163,PPI: Trucking,2020,M01,January,326.5
164,PPI: Trucking,2019,M12,December,312.2
165,PPI: Trucking,2019,M11,November,319.2
166,PPI: Trucking,2019,M10,October,318.2
167,PPI: Trucking,2019,M09,September,316.6
168,PPI: Trucking,2019,M08,August,320.4
169,PPI: Trucking,2019,M07,July,317.1
170,PPI: Trucking,2019,M06,June,320.9
171,PPI: Trucking,2019,M05,May,320.1
172,PPI: Trucking,2019,M04,April,314.0
173,PPI: Trucking,2019,M03,March,316.6
174,PPI: Trucking,2019,M02,February,318.4
175,PPI: Trucking,2019,M01,January,317.7
176,PPI: Trucking,2018,M12,December,310.0
177,PPI: Trucking,2018,M11,November,311.6
178,PPI: Trucking,2018,M10,October,312.5
179,PPI: Trucking,2018,M09,September,310.2
180,PPI: Trucking,2018,M08,August,309.1
181,PPI: Trucking,2018,M07,July,308.9
182,PPI: Trucking,2018,M06,June,308.8
183,PPI: Trucking,2018,M05,May,305.1
184,PPI: Trucking,2018,M04,April,302.2
185,PPI: Trucking,2018,M03,March,301.5
186,PPI: Trucking,2018,M02,February,301.5
187,PPI: Trucking,2018,M01,January,299.3
188,PPI: Trucking,2017,M12,December,296.1
189,PPI: Trucking,2017,M11,November,295.2
190,PPI: Trucking,2017,M10,October,293.1
191,PPI: Trucking,2017,M09,September,292.6
192,PPI: Trucking,2017,M08,August,287.4
193,PPI: Trucking,2017,M07,July,287.0
194,PPI: Trucking,2017,M06,June,283.7
195,PPI: Trucking,2017,M05,May,283.9
196,PPI: Trucking,2017,M04,April,282.3
197,PPI: Trucking,2017,M03,March,281.6
198,PPI: Trucking,2017,M02,February,282.1
199,PPI: Trucking,2017,M01,January,281.1
200,PPI: Trucking,2016,M12,December,279.4
201,PPI: Trucking,2016,M11,November,277.3
202,PPI: Trucking,2016,M10,October,275.7
203,PPI: Trucking,2016,M09,September,269.5
204,PPI: Trucking,2016,M08,August,272.2
205,PPI: Trucking,2016,M07,July,272.3
206,PPI: Trucking,2016,M06,June,271.4
207,PPI: Trucking,2016,M05,May,270.9
208,PPI: Trucking,2016,M04,April,271.2
209,PPI: Trucking,2016,M03,March,267.7
210,PPI: Trucking,2016,M02,February,268.6
211,PPI: Trucking,2016,M01,January,263.7
212,PPI: Trucking,2015,M12,December,264.6
213,PPI: Trucking,2015,M11,November,264.3
214,PPI: Trucking,2015,M10,October,257.1
215,PPI: Trucking,2015,M09,September,259.1
216,PPI: Trucking,2015,M08,August,259.3
217,PPI: Trucking,2015,M07,July,261.7
218,PPI: Trucking,2015,M06,June,262.3
219,PPI: Trucking,2015,M05,May,264.4
220,PPI: Trucking,2015,M04,April,259.7
221,PPI: Trucking,2015,M03,March,263.7
222,PPI: Trucking,2015,M02,February,261.1
223,PPI: Trucking,2015,M01,January,265.5
224,PPI: Trucking,2014,M12,December,268.2
225,PPI: Trucking,2014,M11,November,264.8
226,PPI: Trucking,2014,M10,October,265.5
227,PPI: Trucking,2014,M09,September,266.8
228,PPI: Trucking,2014,M08,August,271.9
229,PPI: Trucking,2014,M07,July,271.2
230,PPI: Trucking,2014,M06,June,268.4
231,PPI: Trucking,2014,M05,May,268.6
232,PPI: Trucking,2014,M04,April,267.8
233,PPI: Trucking,2014,M03,March,260.5
234,PPI: Trucking,2014,M02,February,258.5
235,PPI: Trucking,2014,M01,January,259.1
236,PPI: Trucking,2013,M12,December,260.4
237,PPI: Trucking,2013,M11,November,257.3
238,PPI: Trucking,2013,M10,October,258.5
239,PPI: Trucking,2013,M09,September,257.3
240,PPI: Trucking,2013,M08,August,256.0
241,PPI: Trucking,2013,M07,July,254.4
242,PPI: Trucking,2013,M06,June,255.6
243,PPI: Trucking,2013,M05,May,250.1
244,PPI: Trucking,2013,M04,April,251.1
245,PPI: Trucking,2013,M03,March,255.0
246,PPI: Trucking,2013,M02,February,253.0
247,PPI: Trucking,2013,M01,January,251.0
248,PPI: Air Freight,2023,M04,April,121.866
249,PPI: Air Freight,2023,M03,March,121.957
250,PPI: Air Freight,2023,M02,February,123.203
251,PPI: Air Freight,2023,M01,January,122.922
252,PPI: Air Freight,2022,M12,December,121.642
253,PPI: Air Freight,2022,M11,November,123.689
254,PPI: Air Freight,2022,M10,October,126.069
255,PPI: Air Freight,2022,M09,September,129.491
256,PPI: Air Freight,2022,M08,August,130.307
257,PPI: Air Freight,2022,M07,July,132.235
258,PPI: Air Freight,2022,M06,June,133.161
259,PPI: Air Freight,2022,M05,May,129.666
260,PPI: Air Freight,2022,M04,April,129.937
261,PPI: Air Freight,2022,M03,March,127.61
262,PPI: Air Freight,2022,M02,February,123.275
263,PPI: Air Freight,2022,M01,January,126.794
264,PPI: Air Freight,2021,M12,December,126.66
265,PPI: Air Freight,2021,M11,November,124.493
266,PPI: Air Freight,2021,M10,October,121.327
267,PPI: Air Freight,2021,M09,September,117.777
268,PPI: Air Freight,2021,M08,August,115.814
269,PPI: Air Freight,2021,M07,July,114.903
270,PPI: Air Freight,2021,M06,June,116.4
271,PPI: Air Freight,2021,M05,May,114.2
272,PPI: Air Freight,2021,M04,April,114.2
273,PPI: Air Freight,2021,M03,March,115.7
274,PPI: Air Freight,2021,M02,February,114.9
275,PPI: Air Freight,2021,M01,January,115.7
276,PPI: Air Freight,2020,M12,December,117.6
277,PPI: Air Freight,2020,M11,November,113.0
278,PPI: Air Freight,2020,M10,October,113.1
279,PPI: Air Freight,2020,M09,September,112.4
280,PPI: Air Freight,2020,M08,August,113.2
281,PPI: Air Freight,2020,M07,July,116.5
282,PPI: Air Freight,2020,M06,June,113.5
283,PPI: Air Freight,2020,M05,May,113.0
284,PPI: Air Freight,2020,M04,April,111.5
285,PPI: Air Freight,2020,M03,March,111.5
286,PPI: Air Freight,2020,M02,February,111.8
287,PPI: Air Freight,2020,M01,January,112.4
288,PPI: Air Freight,2019,M12,December,113.8
289,PPI: Air Freight,2019,M11,November,112.8
290,PPI: Air Freight,2019,M10,October,111.4
291,PPI: Air Freight,2019,M09,September,110.9
292,PPI: Air Freight,2019,M08,August,110.0
293,PPI: Air Freight,2019,M07,July,111.8
294,PPI: Air Freight,2019,M06,June,111.5
295,PPI: Air Freight,2019,M05,May,111.7
296,PPI: Air Freight,2019,M04,April,111.9
297,PPI: Air Freight,2019,M03,March,111.8
298,PPI: Air Freight,2019,M02,February,111.8
299,PPI: Air Freight,2019,M01,January,112.0
300,PPI: Air Freight,2018,M12,December,112.6
301,PPI: Air Freight,2018,M11,November,112.8
302,PPI: Air Freight,2018,M10,October,112.6
303,PPI: Air Freight,2018,M09,September,111.7
304,PPI: Air Freight,2018,M08,August,111.2
305,PPI: Air Freight,2018,M07,July,111.6
306,PPI: Air Freight,2018,M06,June,111.5
307,PPI: Air Freight,2018,M05,May,113.0
308,PPI: Air Freight,2018,M04,April,110.9
309,PPI: Air Freight,2018,M03,March,112.9
310,PPI: Air Freight,2018,M02,February,112.7
311,PPI: Air Freight,2018,M01,January,112.2
312,PPI: Air Freight,2017,M12,December,112.3
313,PPI: Air Freight,2017,M11,November,111.6
314,PPI: Air Freight,2017,M10,October,111.2
315,PPI: Air Freight,2017,M09,September,110.3
316,PPI: Air Freight,2017,M08,August,109.4
317,PPI: Air Freight,2017,M07,July,108.7
318,PPI: Air Freight,2017,M06,June,110.8
319,PPI: Air Freight,2017,M05,May,106.5
320,PPI: Air Freight,2017,M04,April,108.4
321,PPI: Air Freight,2017,M03,March,109.0
322,PPI: Air Freight,2017,M02,February,107.6
323,PPI: Air Freight,2017,M01,January,110.5
324,PPI: Air Freight,2016,M12,December,111.6
325,PPI: Air Freight,2016,M11,November,108.3
326,PPI: Air Freight,2016,M10,October,107.5
327,PPI: Air Freight,2016,M09,September,108.3
328,PPI: Air Freight,2016,M08,August,109.7
329,PPI: Air Freight,2016,M07,July,111.3
330,PPI: Air Freight,2016,M06,June,107.3
